0,1,2,3
N,Norte,19/10/2000,264.625.416.667
N,Norte,20/10/2000,264.643.750.000
N,Norte,21/10/2000,253.470.000.000
N,Norte,22/10/2000,242.142.916.667
N,Norte,23/10/2000,256.382.083.333
N,Norte,24/10/2000,262.950.000.000
N,Norte,25/10/2000,263.547.083.333
N,Norte,26/10/2000,263.637.083.333
N,Norte,27/10/2000,263.791.250.000
N,Norte,28/10/2000,251.686.250.000
N,Norte,29/10/2000,243.153.750.000
N,Norte,30/10/2000,262.720.833.333
N,Norte,31/10/2000,259.375.958.333
N,Norte,01/11/2000,261.115.416.667
N,Norte,02/11/2000,245.837.500.000
N,Norte,03/11/2000,256.881.000.000
N,Norte,04/11/2000,252.741.250.000
N,Norte,05/11/2000,242.420.041.667
N,Norte,06/11/2000,256.283.750.000
N,Norte,07/11/2000,263.495.416.667
N,Norte,08/11/2000,262.853.750.000
N,Norte,09/11/2000,257.377.916.667
N,Norte,10/11/2000,260.467.083.333
N,Norte,11/11/2000,252.632.500.000
N,Norte,12/11/2000,241.802.916.667
N,Norte,13/11/2000,258.911.250.000
N,Norte,14/11/2000,259.807.500.000
N,Norte,15/11/2000,245.543.333.333
N,Norte,16/11/2000,259.853.333.333
N,Norte,17/11/2000,257.702.083.333
N,Norte,18/11/2000,250.272.916.667
N,Norte,19/11/2000,245.058.750.000
N,Norte,20/11/2000,259.542.083.333
N,Norte,21/11/2000,261.595.833.333
N,Norte,22/11/2000,262.046.250.000
N,Norte,23/11/2000,263.586.250.000
N,Norte,24/11/2000,259.913.750.000
N,Norte,25/11/2000,252.401.666.667
N,Norte,26/11/2000,245.289.583.333
N,Norte,27/11/2000,261.493.750.000
N,Norte,28/11/2000,263.158.500.000
N,Norte,29/11/2000,263.762.916.667
N,Norte,30/11/2000,262.949.166.667
N,Norte,01/12/2000,263.160.833.333
N,Norte,02/12/2000,254.614.583.333
N,Norte,03/12/2000,246.482.916.667
N,Norte,04/12/2000,261.477.916.667
N,Norte,05/12/2000,260.625.000.000
N,Norte,06/12/2000,262.500.833.333
N,Norte,07/12/2000,262.536.666.667
N,Norte,08/12/2000,253.146.250.000
N,Norte,09/12/2000,250.784.583.333
N,Norte,10/12/2000,242.939.583.333
N,Norte,11/12/2000,258.142.250.000
N,Norte,12/12/2000,261.158.125.000
N,Norte,13/12/2000,260.018.750.000
