time,down2total,lat,lon
2020-08-05,0.53413147,-34.5,-58.125
2020-08-06,0.5150653,-34.5,-58.125
2020-08-07,0.45767245,-34.5,-58.125
2020-08-08,0.42901254,-34.5,-58.125
2020-08-09,0.33375886,-34.5,-58.125
2020-08-10,0.74291545,-34.5,-58.125
2020-08-11,0.7651447,-34.5,-58.125
2020-08-12,0.75025886,-34.5,-58.125
2020-08-13,0.7206169,-34.5,-58.125
2020-08-14,0.6903015,-34.5,-58.125
2020-08-15,0.7320898,-34.5,-58.125
2020-08-16,0.7404986,-34.5,-58.125
2020-08-17,0.7379213,-34.5,-58.125
2020-08-18,0.6716575,-34.5,-58.125
2020-08-19,0.6264237,-34.5,-58.125
2020-08-20,0.7385728,-34.5,-58.125
2020-08-21,0.74062383,-34.5,-58.125
2020-08-22,0.72874177,-34.5,-58.125
2020-08-23,0.73628277,-34.5,-58.125
2020-08-24,0.70162004,-34.5,-58.125
2020-08-25,0.29064038,-34.5,-58.125
2020-08-26,0.43691763,-34.5,-58.125
2020-08-27,0.4241735,-34.5,-58.125
2020-08-28,0.5771696,-34.5,-58.125
2020-08-29,0.46983624,-34.5,-58.125
2020-08-30,0.75444734,-34.5,-58.125
2020-08-31,0.4629625,-34.5,-58.125
2020-09-01,0.19500065,-34.5,-58.125
2020-09-02,0.17545828,-34.5,-58.125
2020-09-03,0.672542,-34.5,-58.125
2020-09-04,0.5811871,-34.5,-58.125
2020-09-05,0.72907424,-34.5,-58.125
2020-09-06,0.6775198,-34.5,-58.125
2020-09-07,0.7286302,-34.5,-58.125
2020-09-08,0.7035945,-34.5,-58.125
2020-09-09,0.45110703,-34.5,-58.125
2020-09-10,0.73367876,-34.5,-58.125
2020-09-11,0.5881392,-34.5,-58.125
2020-09-12,0.61475825,-34.5,-58.125
2020-09-13,0.73111165,-34.5,-58.125
2020-09-14,0.78078336,-34.5,-58.125
2020-09-15,0.54167587,-34.5,-58.125
2020-09-16,0.7415051,-34.5,-58.125
2020-09-17,0.73593974,-34.5,-58.125
2020-09-18,0.7403133,-34.5,-58.125
2020-09-19,0.7679185,-34.5,-58.125
2020-09-20,0.7712554,-34.5,-58.125
2020-09-21,0.7776054,-34.5,-58.125
2020-09-22,0.57241154,-34.5,-58.125
2020-09-23,0.4402636,-34.5,-58.125
2020-09-24,0.63043857,-34.5,-58.125
2020-09-25,0.16649103,-34.5,-58.125
2020-09-26,0.29558024,-34.5,-58.125
2020-09-27,0.625778,-34.5,-58.125
2020-09-28,0.7740922,-34.5,-58.125
2020-09-29,0.74416935,-34.5,-58.125
2020-09-30,0.67765653,-34.5,-58.125
2020-10-01,0.3603569,-34.5,-58.125
2020-10-02,0.74542004,-34.5,-58.125
2020-10-03,0.7238092,-34.5,-58.125
2020-10-04,0.57927656,-34.5,-58.125
2020-10-05,0.7377857,-34.5,-58.125
2020-10-06,0.620054,-34.5,-58.125
2020-10-07,0.7345413,-34.5,-58.125
2020-10-08,0.7540296,-34.5,-58.125
2020-10-09,0.7565151,-34.5,-58.125
2020-10-10,0.7649974,-34.5,-58.125
2020-10-11,0.62111723,-34.5,-58.125
2020-10-12,0.71950036,-34.5,-58.125
2020-10-13,0.7602394,-34.5,-58.125
2020-10-14,0.7307159,-34.5,-58.125
2020-10-15,0.6867138,-34.5,-58.125
2020-10-16,0.6827262,-34.5,-58.125
2020-10-17,0.2901792,-34.5,-58.125
2020-10-18,0.6547744,-34.5,-58.125
2020-10-19,0.3846265,-34.5,-58.125
2020-10-20,0.36660275,-34.5,-58.125
2020-10-21,0.62840945,-34.5,-58.125
2020-10-22,0.35162547,-34.5,-58.125
2020-10-23,0.6123025,-34.5,-58.125
2020-10-24,0.7028222,-34.5,-58.125
2020-10-25,0.5174361,-34.5,-58.125
2020-10-26,0.76929384,-34.5,-58.125
2020-10-27,0.7801336,-34.5,-58.125
2020-10-28,0.53891486,-34.5,-58.125
2020-10-29,0.7715447,-34.5,-58.125
2020-10-30,0.60791886,-34.5,-58.125
2020-10-31,0.76497036,-34.5,-58.125
2020-11-01,0.75610125,-34.5,-58.125
2020-11-02,0.688407,-34.5,-58.125
2020-11-03,0.6927216,-34.5,-58.125
2020-11-04,0.7692828,-34.5,-58.125
2020-11-05,0.76897377,-34.5,-58.125
2020-11-06,0.5880432,-34.5,-58.125
2020-11-07,0.59613127,-34.5,-58.125
2020-11-08,0.7585896,-34.5,-58.125
2020-11-09,0.40900844,-34.5,-58.125
2020-11-10,0.7493371,-34.5,-58.125
2020-11-11,0.744861,-34.5,-58.125
2020-11-12,0.69105935,-34.5,-58.125
2020-11-13,0.6970488,-34.5,-58.125
2020-11-14,0.27629352,-34.5,-58.125
2020-11-15,0.7474763,-34.5,-58.125
2020-11-16,0.75833,-34.5,-58.125
2020-11-17,0.72136396,-34.5,-58.125
2020-11-18,0.6828824,-34.5,-58.125
2020-11-19,0.7640073,-34.5,-58.125
2020-11-20,0.7553054,-34.5,-58.125
2020-11-21,0.7439578,-34.5,-58.125
2020-11-22,0.7478536,-34.5,-58.125
2020-11-23,0.7011851,-34.5,-58.125
2020-11-24,0.47544536,-34.5,-58.125
2020-11-25,0.58271885,-34.5,-58.125
