fecha	hora	demanda
2020-08-31	15	9579,781724350103
2020-11-10	19	9465,6218242882
2020-05-13	22	9653,776221057697
2020-06-05	15	9557,248962644597
2020-05-25	16	9163,080149100306
2020-06-28	18	9077,167643241404
2020-05-16	20	9526,122468960803
2020-06-04	8	7972,748040887894
2021-02-21	16	9078,359602396264
2020-09-17	19	8188,996593996201
2020-08-18	11	9720,935408926995
2020-05-03	19	9158,870985068404
2020-06-07	18	8803,401034529305
2020-06-28	2	7949,342586823198
2020-05-06	12	8921,5669195316
2020-07-12	2	7852,309741251703
2020-06-17	15	10065,128809744494
2020-07-29	14	9447,875826870199
2020-08-16	4	7299,2754125683
2020-12-16	18	10104,454369838695
2020-09-29	21	9824,246859631401
2020-07-02	15	9087,092079580802
2020-06-18	13	9999,3736217165
2020-05-04	6	7358,421762650798
2020-11-02	21	9569,016683776492
2021-02-07	12	8107,1584719000875
2020-06-02	7	8035,992914219202
2020-07-16	22	9531,189290515702
2020-07-09	19	9505,767027322392
2020-08-10	7	7706,803584696999
2020-10-08	8	8130,996508693502
2021-02-08	1	8504,119698728893
2020-06-19	22	9568,839459455707
2020-12-21	15	10707,146097455914
2020-06-24	3	7809,756154769602
2021-02-26	7	8840,8025000931
2021-01-29	15	10034,391148683897
2020-11-12	11	9406,859491200503
2020-07-23	14	9443,742498086807
2020-06-20	12	8986,464866465796
2020-09-16	2	8177,597159387996
2020-06-04	10	9081,295520886706
2020-06-10	1	8839,040278295197
2020-11-03	4	7837,757141649305
2020-05-18	20	9951,539454265707
2020-06-09	17	9647,175452209307
2020-09-27	22	9130,079989754502
2020-06-07	21	9700,6663064954
2020-08-24	18	9314,242679568008
2021-01-12	4	8335,242967860999
2020-08-10	20	10076,3283577194
2020-12-11	17	10169,317632690094
2020-05-08	14	9379,654307158296
2020-10-21	4	7841,039974359997
2020-04-30	23	8810,823751499604
2020-05-10	23	8811,1098792341
2020-09-19	9	6837,078837978
2020-06-29	8	7181,188596085801
2021-02-08	3	7947,191879759404
2020-11-30	6	7984,226286567798
2021-01-12	14	10418,032088555696
2020-05-28	18	9756,543316462292
2020-11-17	19	9124,029603543106
2021-03-02	10	10091,609105602562
2020-06-10	13	9826,034068286186
2021-01-29	24	8832,278247089505
2020-11-13	1	8632,365199770396
2020-10-13	6	7685,841111485999
2021-02-24	17	10747,547371856062
2020-05-21	10	7857,740647844897
2020-08-26	4	7625,1187515533
2020-07-10	22	9484,080326302703
2020-06-25	14	10184,846436343998
2020-05-19	4	7779,471260263903
2020-06-01	22	9310,110663680902
2020-05-15	22	9453,559389332795
2020-05-04	16	9438,604338738294
2021-01-07	24	9434,253393574498
2020-09-16	17	8845,825673501398
2020-06-02	6	7846,300925385699
2020-09-12	21	9155,965045778405
2020-06-26	5	7684,765304140898
2020-08-30	4	7558,187247303998
2020-09-22	24	8859,420970113
2020-06-04	20	9767,682572126498
2020-08-13	4	7738,010504921701
2020-11-15	12	7957,8795691068935
2020-10-13	23	9409,688025296296
2020-07-16	20	9725,034490876797
2020-08-15	8	7304,7834552061
2021-03-09	10	10285,020938377826
2020-10-20	10	9046,706039426288
2020-11-14	9	7856,560563948104
2020-08-02	10	7429,880422011399
2020-09-09	6	7758,032336590699
2020-07-04	6	7311,840520903504
2020-07-24	13	9624,5127828422
2021-01-07	15	10285,119085950402
2020-05-14	20	9905,395557336906
2020-12-19	17	9298,736870151708
2020-05-08	5	7713,607882192796
2020-11-05	20	9320,834254997602
2021-02-09	17	10244,81420103506
2020-07-20	18	9250,789567583193
2020-05-02	4	7266,170088112301
