,0
2019-09-10,6627.361381475639
2019-09-11,3939.987095761375
2019-09-12,5381.429952904204
2019-09-13,2579.602810047043
2019-09-14,-205.61004709574627
2019-09-15,-7665.855761381477
2019-09-16,10024.768524332787
2019-09-17,10432.90281004706
2019-09-18,-678.3100470957579
2019-09-19,2024.9128100470698
2019-09-20,-8974.462904238608
2019-09-21,-10580.707189952955
2019-09-22,-15840.13290423865
2019-09-23,3914.5042386184796
2019-09-24,3500.3856671899557
2019-09-25,3476.1870957613573
2019-09-26,6744.712810047087
2019-09-27,7852.682810047059
2019-09-28,-1126.924332810071
2019-09-29,-11241.920047095773
2019-09-30,10667.978524332779
2019-10-01,19543.37281004709
2019-10-02,18695.14281004708
2019-10-03,14694.538524332806
2019-10-04,5647.791381475632
2019-10-05,-2354.560047095787
2019-10-06,-13963.5614756672
2019-10-07,3711.0513814756705
2019-10-08,8016.434238618502
2019-10-09,11971.00995290422
2019-10-10,14065.951381475636
2019-10-11,12669.06138147565
2019-10-12,-7477.610047095775
2019-10-13,-11738.768618524366
2019-10-14,6891.999952904211
2019-10-15,9482.388524332811
2019-10-16,4722.049952904228
2019-10-17,3767.237095761375
2019-10-18,-525.6614756672352
2019-10-19,-9825.150047095813
2019-10-20,-25618.825761381508
2019-10-21,-18415.390047095803
2019-10-22,-13800.938618524378
2019-10-23,-10094.94433281006
2019-10-24,-5800.834332810045
2019-10-25,-6690.79576138148
2019-10-26,-11533.272904238664
2019-10-27,-20382.218618524377
2019-10-28,-5440.407189952937
2019-10-29,-1501.4271899529267
2019-10-30,-1940.2786185243458
2019-10-31,-12965.680047095753
2019-11-01,-7421.348618524353
2019-11-02,-9636.267189952894
2019-11-03,-21092.02004709575
2019-11-04,557.005667189922
2019-11-05,2817.3399529042363
2019-11-06,5513.737095761346
2019-11-07,9188.585667189938
2019-11-08,5636.892810047051
2019-11-09,-3133.520047095779
2019-11-10,-15338.72433281006
2019-11-11,4664.278524332796
2019-11-12,2037.149952904234
2019-11-13,4856.557095761382
2019-11-14,9448.10709576137
2019-11-15,8149.895667189965
2019-11-16,1442.7928100471036
2019-11-17,-12098.201475667214
2019-11-18,9499.589952904236
2019-11-19,12780.22423861851
2019-11-20,9477.727095761336
2019-11-21,9859.727095761365
2019-11-22,1904.5328100470942
2019-11-23,-4468.048618524335
2019-11-24,-18857.95861852434
2019-11-25,4385.721381475654
2019-11-26,3829.1885243327706
2019-11-27,6612.981381475634
2019-11-28,8826.861381475639
2019-11-29,5288.11709576135
2019-11-30,-4148.501475667203
2019-12-01,-18982.628099557973
2019-12-02,2067.2447575848782
2019-12-03,4152.804757584876
2019-12-04,4717.8947575849015
2019-12-05,3755.1347575849213
2019-12-06,3232.4290432991693
2019-12-07,-6054.593813843676
2019-12-08,-8781.215242415143
2019-12-09,10991.89332901346
2019-12-10,8980.129043299181
2019-12-11,9990.70475758487
2019-12-12,13223.640471870604
2019-12-13,7176.347614727769
2019-12-14,-5748.036670986534
2019-12-15,-21900.6009567008
2019-12-16,4629.064757584885
2019-12-17,9012.110471870605
2019-12-18,6987.761900442041
2019-12-19,4704.367614727758
2019-12-20,2091.086186156317
2019-12-21,-4846.5523852722545
2019-12-22,-17245.145242415107
2019-12-23,6147.82190044201
2019-12-24,4673.951900442044
2019-12-25,-7609.430956700817
2019-12-26,11239.823329013481
2019-12-27,7230.014757584897
2019-12-28,-2945.4638138437003
2019-12-29,-15952.209528129402
2019-12-30,5691.3290432991635
2019-12-31,4925.401900442026
2020-01-01,-564.3885842954624
2020-01-02,13296.614272847422
2020-01-03,10141.13284427597
2020-01-04,-6922.061441438331
2020-01-05,-21241.472870009748
2020-01-06,-922.3800128668954
2020-01-07,1074.3242728473851
2020-01-08,-1841.6557271526253
2020-01-09,6421.705701418803
2020-01-10,6935.667129990266
2020-01-11,-10008.818584295455
2020-01-12,-22487.232870009757
2020-01-13,5370.419987133122
2020-01-14,7773.757129990263
2020-01-15,6078.617129990278
2020-01-16,8855.831415704539
